FULL SYSTEM TEST
---------------
Populating A and B...
Calculating reference values of C...
CWRITE: low word, high word, address 0 | 0 @300 @308
CWRITE: low word, high word, address 0 | 0 @310 @318
CWRITE: low word, high word, address 0 | 0 @320 @328
CWRITE: low word, high word, address 0 | 0 @330 @338
CWRITE: low word, high word, address 0 | 0 @340 @348
CWRITE: low word, high word, address 0 | 0 @350 @358
CWRITE: low word, high word, address 0 | 0 @360 @368
CWRITE: low word, high word, address 0 | 0 @370 @378
data word val, addr: c05f54d526516dd8 | 100
data word val, addr: f1bb536a90831585 | 200
data word val, addr: 33e28373dd4d11f1 | 108
data word val, addr: cb8950dd139d92b9 | 208
data word val, addr: c78845e6cf4f2ed8 | 110
data word val, addr: a0391356548c89bf | 210
data word val, addr: 31351c0f43e93228 | 118
data word val, addr: 1b650200e8b641d8 | 218
data word val, addr: 578ed2f746a9ba5e | 120
data word val, addr: b61036c8a3f17f53 | 220
data word val, addr: a401359a45ca5e7c | 128
data word val, addr: 5e6b02e55da68d40 | 228
data word val, addr: 3c35217eddd0e4ee | 130
data word val, addr: a0b519f93adfdb29 | 230
data word val, addr: b6120f162b0d57e7 | 138
data word val, addr: be10c2b8916135e4 | 238
data word val, addr: 14f229b609f0907b | 100
data word val, addr: ddbd0c49124725cc | 200
data word val, addr: 5c7f3f7d49bc97bb | 108
data word val, addr: 2b029ec500eccfde | 208
data word val, addr: c64b0654a8eed97c | 110
data word val, addr: 20b6715eb034d778 | 210
data word val, addr: c7c33a67dc2547ab | 118
data word val, addr: c80001d227a6034d | 218
data word val, addr: d59c4c562b4eed93 | 120
data word val, addr: 3242f9d901b39b82 | 220
data word val, addr: bdd35f2d6aa31032 | 128
data word val, addr: ce2d32bad26ecea0 | 228
data word val, addr: a42bb5ca5e5239b2 | 130
data word val, addr: 9110e8a7a6aeaae3 | 230
data word val, addr: 9c7523c550530abb | 138
data word val, addr: 69ed8315eee00fe | 238
data word val, addr: 42712f70e185607f | 100
data word val, addr: de79cdb25463459c | 200
data word val, addr: 6d60cebfd30a84f2 | 108
data word val, addr: 6aab7790f0b74544 | 208
data word val, addr: fc3dfa543f012e1c | 110
data word val, addr: 90dd189e8e64ca1d | 210
data word val, addr: c1f242f0f0312e9e | 118
