FULL SYSTEM TEST
---------------
Populating A and B...
Calculating reference values of C...
CWRITE: low word, high word, address 0 | 0 @300 @308
CWRITE: low word, high word, address 0 | 0 @310 @318
CWRITE: low word, high word, address 0 | 0 @320 @328
CWRITE: low word, high word, address 0 | 0 @330 @338
CWRITE: low word, high word, address 0 | 0 @340 @348
CWRITE: low word, high word, address 0 | 0 @350 @358
CWRITE: low word, high word, address 0 | 0 @360 @368
CWRITE: low word, high word, address 0 | 0 @370 @378
data word val, addr: 97f6956a2bde23f1 | 100
data word val, addr: d5887fd1538c602b | 200
data word val, addr: 5cf5a8569d3f5e07 | 108
data word val, addr: 10f9dbe9d3cb2338 | 208
data word val, addr: f12fb53e0d5aaf6c | 110
data word val, addr: dc14d694991d7c8 | 210
data word val, addr: ca30d42aaf927ea6 | 118
data word val, addr: cf11cf742fb3506f | 218
data word val, addr: d092154b86d4539c | 120
data word val, addr: b2b9bb570ef641c9 | 220
data word val, addr: 6b039abec54fb375 | 128
data word val, addr: 9d5638266c5c1568 | 228
data word val, addr: a07c8232d20068a3 | 130
data word val, addr: 271b7404758114fd | 230
data word val, addr: b8f75bc9af50315f | 138
data word val, addr: 79f7a7b19b0cdc2e | 238
data word val, addr: 6619dfab60fd91b0 | 100
data word val, addr: 257694bc8eb44c82 | 200
data word val, addr: 9d5e4ecbc55c5b46 | 108
data word val, addr: 1eb9fa291fa2d290 | 208
data word val, addr: 857aacf80c808723 | 110
data word val, addr: b7532948105a7056 | 210
data word val, addr: c1df24e1fb8304a5 | 118
data word val, addr: a7fe780a0f7085c | 218
data word val, addr: 8fc37e5a5449affe | 120
data word val, addr: 5019879c7df2542d | 220
data word val, addr: 330b89f63481b3c5 | 128
data word val, addr: 2b98c606190dd569 | 228
data word val, addr: 461081e01b921bdf | 130
data word val, addr: 1524689a2d4e9179 | 230
data word val, addr: 61f579182ab78298 | 138
data word val, addr: 4a71c64f8c6dd2c6 | 238
data word val, addr: b6567fe937156c06 | 100
data word val, addr: 6603669193f70e1f | 200
data word val, addr: 1640798f1e47880b | 108
data word val, addr: 527b4383066a547e | 208
data word val, addr: 715a51b5e2c6be3f | 110
data word val, addr: 314e0299682bd16d | 210
data word val, addr: f950ed79ea7356a8 | 118
